id,evidence_inference_prompt_id,pmcid,outcome,intervention,comparator,outcome_type,intervention_events,intervention_group_size,comparator_events,comparator_group_size,intervention_mean,intervention_standard_deviation,comparator_mean,comparator_standard_deviation,notes,is_data_in_figure_graphics,is_relevant_data_in_table,is_table_in_graphic_format,is_data_complete,tiktoken_with_attributes_xml_token_num,tiktoken_without_attributes_xml_token_num,tiktoken_without_attributes_markdown_token_num,split
1,11248,57750,Death or myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,Group sizes are not given so the events cannot calculate using the percentages.,FALSE,FALSE,FALSE,FALSE,5811,4777,3265,DEV
2,11249,57750,Myocardial infarction,eptifibatide,placebo,binary,,,,,,,,,Group sizes are not given so the events cannot calculate using the percentages.,FALSE,FALSE,FALSE,FALSE,5811,4777,3265,DEV
3,11266,1216327,The mean body weight gain,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30,,30,50.6,,-0.7,,Missing standard deviations,FALSE,TRUE,FALSE,FALSE,6350,5198,3913,DEV
4,11267,1216327,The duration of the illness,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30,,30,47.5,38.9,26.5,27.4,,FALSE,TRUE,FALSE,TRUE,6350,5198,3913,DEV
5,11268,1216327,The fecal losses,White Grape Juice (WGJ),colored and flavored water (WA),continuous,,30,,30,3.59,2.35,2.19,1.63,,FALSE,TRUE,FALSE,TRUE,6350,5198,3913,DEV
6,11451,1574360,The amount of saturated fat in the foods purchased,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,continuous,,251,,246,0.77,1.37,0.04,0.32,Have to use CI to calculate the SDs,FALSE,FALSE,TRUE,TRUE,1959,1620,1376,TEST
7,11452,1574360,the average cost of the food,fully automated advice that recommended specific switches from selected products higher in saturated fat to alternate similar products lower in saturated fat,control received general non-specific advice about how to eat a diet lower in saturated fat,continuous,,251,,246,0.63,0.4,0.62,0.36,Have to use CI to calculate the SDs,FALSE,FALSE,TRUE,TRUE,1959,1620,1376,TEST
8,9683,2363753,Days with fever,Amifostine,Control,continuous,,20,,20,,,,,Only abstract is available. Full text in PDF only.,FALSE,FALSE,FALSE,FALSE,887,780,725,TEST
9,9684,2363753,Hospital stay,Amifostine,Control,continuous,,20,,20,,,,,Only abstract is available. Full text in PDF only.,FALSE,FALSE,FALSE,FALSE,887,780,725,TEST
10,9682,2363753,Grade III/IV stomatitis,Amifostine,Control,binary,0,20,5,20,,,,,Only abstract is available. Full text in PDF only.,FALSE,FALSE,FALSE,TRUE,887,780,725,TEST
11,9681,2363753,Glomerular filtration rate fall,Amifostine,Control,continuous,,20,,20,10,,37,,Only abstract is available. Full text in PDF only.,FALSE,FALSE,FALSE,FALSE,887,780,725,TEST
12,12632,2667135,number of days with received courses of antibiotics,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,continuous,,103,,97,25.4,23.34,13.5,9.49,,FALSE,FALSE,FALSE,TRUE,11722,8106,5529,TEST
13,12633,2667135,proportion of patients completed therapy,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,93,103,44,97,,,,,,FALSE,TRUE,FALSE,TRUE,11722,8106,5529,TEST
14,12634,2667135,early discontinuations,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,10,103,54,97,,,,,,FALSE,TRUE,FALSE,TRUE,11722,8106,5529,TEST
15,12635,2667135,rate of clinical success at the test-of-cure visit,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,89,103,54,97,,,,,,FALSE,TRUE,FALSE,TRUE,11722,8106,5529,TEST
16,12636,2667135,deaths,some portion of therapy outside of the hospital (CoPAT),full course of therapy in the hospital setting,binary,4,103,18,97,,,,,,FALSE,TRUE,FALSE,TRUE,11722,8106,5529,TEST
17,8237,2681019,Adiponectin in women,Red wine,Control,continuous,,,,,,,,,Mean and SD in figure. Group sizes not available in results section.,TRUE,FALSE,FALSE,FALSE,726,647,543,DEV
18,8238,2681019,Adiponectin in men,Ethanol solution,Control,continuous,,,,,,,,,Mean and SD in figure. Group sizes not available in results section.,TRUE,FALSE,FALSE,FALSE,726,647,543,DEV
19,8239,2681019,Adiponectin in men,Beer,Control,continuous,,,,,,,,,Mean and SD in figure. Group sizes not available in results section.,TRUE,FALSE,FALSE,FALSE,726,647,543,DEV
20,3246,2972614,Adverse effects,Laser therapy (Group I),Placebo laser therapy (Group II),binary,0,30,0,22,,,,,,FALSE,FALSE,FALSE,TRUE,7041,2968,1931,TEST
21,3243,2972614,Severity of pain,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,3.76,1.45,4.63,2.1,,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
22,3245,2972614,Shoulder Pain and Disability Index score,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,48.13,22.1,40.99,20.98,,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
23,3247,2972614,Laboratory parameters,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,,,,,Unclear outcome and also no numerical data for this specific outcome,FALSE,FALSE,FALSE,FALSE,7041,2968,1931,TEST
24,3244,2972614,Motion range - Shoulder flexion,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,168,22.65,174.31,14.98,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
25,3244,2972614,Motion range - Shoulder extension,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,42.66,3.4,42.95,3.98,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
26,3244,2972614,Motion range - Shoulder abduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,166.66,21.38,172.72,16.67,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
27,3244,2972614,Motion range - Shoulder adduction,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,42,4.27,42.04,5.26,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
28,3244,2972614,Motion range - Shoulder internal rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,49.33,9.62,49.77,4.49,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
29,3244,2972614,Motion range - Shoulder external rotation,Laser therapy (Group I),Placebo laser therapy (Group II),continuous,,30,,22,44.83,5.64,44.09,1.97,Outcome originally just Motion range.,FALSE,TRUE,FALSE,TRUE,7041,2968,1931,TEST
